CCCC,Location,Country Name
ABCS,Cairns,Australia
ABRF,Brisbane (Regional Forecasting Centre),Australia
ABRK,Rockhampton,Australia
ABTD,Thursday I.,Australia
ABTL,Townsville,Australia
ABWP,Weipa,Australia
ACCC,Cocos Island,Cocos Island
ADDN,Darwin,Australia
ADRM,Darwin/Regional Met. Centre,Australia
AGGG,Honiara (COM Centre), Guadalcanal I.,Solomon Islands
AMMC,Melbourne/World Met. Centre,Australia
AMML,Melbourne/Intl.,Australia
AMRF,Melbourne (Regional Forecasting Centre),Australia
ANAU,Nauru Is.,Nauru
ANYN,NAURU AIRPORT,Nauru
APRF,Perth (Regional Forecasting Centre),Australia
APRM,Adelaide (Regional Forecasting Centre),Australia
ASRF,Sydney (Regional Forecasting Centre),Australia
ASRI,Richmond(RAAF),Australia
AYPY,Port Moresby,Papua New Guinea
BABJ,Peking (Beijing),China
BGAM,Angmagssalik,Greenland
BGSF,Søndre Strømfjord,Greenland
BGTL,Thule AB,Greenland
BICC,Reykjavik (Gufunes COM Centre),Iceland
BIEG,Egilsstadir,Iceland
BIKF,Keflavík,Iceland
BIRK,Reykjavík Airport,Iceland
BOCW,Call sign of ship recruited by/Indicatif d'appel de navire recruté par,China
BOIA,Call sign of ship recruited by/Indicatif d'appel de navire recruté par,China
BOID,Call sign of ship recruited by/Indicatif d'appel de navire recruté par,China
BOIJ,Call sign of ship recruited by/Indicatif d'appel de navire recruté par,China
BOIP,Call sign of ship recruited by/Indicatif d'appel de navire recruté par,China
BOIT,Call sign of ship recruited by/Indicatif d'appel de navire recruté par,China
BOKE,Call sign of ship recruited by/Indicatif d'appel de navire recruté par,China
BOLP,Call sign of ship recruited by/Indicatif d'appel de navire recruté par,China
BOLU,Call sign of ship recruited by/Indicatif d'appel de navire recruté par,China
BOLV,Call sign of ship recruited by/Indicatif d'appel de navire recruté par,China
BOLW,Call sign of ship recruited by/Indicatif d'appel de navire recruté par,China
BOOA,Call sign of ship recruited by/Indicatif d'appel de navire recruté par,China
BOOG,Call sign of ship recruited by/Indicatif d'appel de navire recruté par,China
BOOM,Call sign of ship recruited by/Indicatif d'appel de navire recruté par,China
BOOU,Call sign of ship recruited by/Indicatif d'appel de navire recruté par,China
BOOZ,Call sign of ship recruited by/Indicatif d'appel de navire recruté par,China
BOTO,Call sign of ship recruited by/Indicatif d'appel de navire recruté par,China
BOTT,Call sign of ship recruited by/Indicatif d'appel de navire recruté par,China
BOTZ,Call sign of ship recruited by/Indicatif d'appel de navire recruté par,China
BOVB,Call sign of ship recruited by/Indicatif d'appel de navire recruté par,China
BOZD,Call sign of ship recruited by/Indicatif d'appel de navire recruté par,China
BOZX,Call sign of ship recruited by/Indicatif d'appel de navire recruté par,China
BPGB,Call sign of ship recruited by/Indicatif d'appel de navire recruté par,China
BPGV,Call sign of ship recruited by/Indicatif d'appel de navire recruté par,China
BPJB,Call sign of ship recruited by/Indicatif d'appel de navire recruté par,China
BPJK,Call sign of ship recruited by/Indicatif d'appel de navire recruté par,China
BPKX,Call sign of ship recruited by/Indicatif d'appel de navire recruté par,China
BPLI,Call sign of ship recruited by/Indicatif d'appel de navire recruté par,China
BPLJ,Call sign of ship recruited by/Indicatif d'appel de navire recruté par,China
BPLQ,Call sign of ship recruited by/Indicatif d'appel de navire recruté par,China
BPPS,Call sign of ship recruited by/Indicatif d'appel de navire recruté par,China
BPRG,Call sign of ship recruited by/Indicatif d'appel de navire recruté par,China
BRIK,Call sign of ship recruited by/Indicatif d'appel de navire recruté par,China
BROE,Call sign of ship recruited by/Indicatif d'appel de navire recruté par,China
BRSI,Call sign of ship recruited by/Indicatif d'appel de navire recruté par,China
BRSP,Call sign of ship recruited by/Indicatif d'appel de navire recruté par,China
BRVG,Call sign of ship recruited by/Indicatif d'appel de navire recruté par,China
BSQK,Call sign of ship recruited by/Indicatif d'appel de navire recruté par,China
BSQP,Call sign of ship recruited by/Indicatif d'appel de navire recruté par,China
BSQU,Call sign of ship recruited by/Indicatif d'appel de navire recruté par,China
BTBH,--,Bhutan
CFSP,--,Canada
CWAH,--,Canada
CWAO,Montreal (Canadian Met. Centre), Que.,Canada
CWBA,--,Canada
CWCI,--,Canada
CWCL,--,Canada
CWCP,--,Canada
CWCU,--,Canada
CWDL,--,Canada
CWDV,--,Canada
CWEB,--,Canada
CWEG,Edmonton, Alta. (Alberta/Arctic Weather Centres),Canada
CWEP,--,Canada
CWES,--,Canada
CWEZ,--,Canada
CWGB,--,Canada
CWGD,--,Canada
CWGQ,--,Canada
CWGR,--,Canada
CWHF,Halifax Dockyard, N.S.,Canada
CWHR,--,Canada
CWHX,Bedford (Atlantic Weather Centre), N.S.,Canada
CWIS,Ottawa (AES Ice Forecasting Centre), Ont.,Canada
CWJC,--,Canada
CWKG,--,Canada
CWKY,--,Canada
CWLA,--,Canada
CWLY,--,Canada
CWMI,--,Canada
CWMN,--,Canada
CWMS,--,Canada
CWNC,--,Canada
CWNT,Turtle Mountain,Canada
CWNZ,--,Canada
CWOW,Ottawa, Ont.,Canada
CWPF,Esquimalt (Maritime HQ CFB Dockyard), B.C.,Canada
CWPK,--,Canada
CWPL,--,Canada
CWPN,--,Canada
CWPZ,--,Canada
CWQC,--,Canada
CWQP,--,Canada
CWQS,--,Canada
CWRA,--,Canada
CWRD,--,Canada
CWRJ,--,Canada
CWSA,--,Canada
CWSS,--,Canada
CWTO,Toronto, Ont. (Atmospheric Environment Service HQ.),Canada
CWTQ,--,Canada
CWTZ,--,Canada
CWUL,Montreal (Quebec Forecast Office), Que.,Canada
CWVR,Vancouver (Pacific Weather Centre), B.C.,Canada
CWWE,--,Canada
CWWZ,--,Canada
CWYG,--,Canada
CWYI,--,Canada
CWZC,--,Canada
CYAW,Halifax/Shearwater, NS (Heli),Canada
CYBC,Baie-Comeau, QC,Canada
CYBE,Uranium City, SK,Canada
CYBG,Bagotville, Que.,Canada
